Date	Confirmed	Deaths	Recovered
01-22-2020	1	0	0
01-23-2020	1	0	0
01-24-2020	2	0	0
01-25-2020	2	0	0
01-26-2020	3	0	0
01-27-2020	4	0	0
01-28-2020	4	0	0
01-29-2020	4	0	0
01-30-2020	4	0	0
01-31-2020	11	0	0
02-01-2020	12	0	0
02-02-2020	15	0	0
02-03-2020	15	0	0
02-04-2020	16	0	0
02-05-2020	19	0	0
02-06-2020	23	0	0
02-07-2020	24	0	1
02-08-2020	24	0	1
02-09-2020	25	0	3
02-10-2020	27	0	3
02-11-2020	28	0	3
02-12-2020	28	0	7
02-13-2020	28	0	7
02-14-2020	28	0	7
02-15-2020	28	0	9
02-16-2020	29	0	9
02-17-2020	30	0	10
02-18-2020	31	0	12
02-19-2020	31	0	12
02-20-2020	104	1	16
02-21-2020	204	2	16
02-22-2020	433	2	16
02-23-2020	602	6	18
02-24-2020	833	8	18
02-25-2020	977	10	22
02-26-2020	1261	12	22
02-27-2020	1766	13	22
02-28-2020	2337	13	22
02-29-2020	3150	16	27
03-01-2020	3736	17	30
03-02-2020	4335	28	30
03-03-2020	5186	28	30
03-04-2020	5621	35	41
03-05-2020	6088	35	41
03-06-2020	6593	42	135
03-07-2020	7041	44	135
03-08-2020	7314	50	118
03-09-2020	7478	53	118
03-10-2020	7513	54	247
03-11-2020	7755	60	288
03-12-2020	7869	66	333
03-13-2020	7979	66	510
03-14-2020	8086	72	510
03-15-2020	8162	75	510
03-16-2020	8236	75	1137
03-17-2020	8320	81	1407
03-18-2020	8413	84	1540
03-19-2020	8565	91	1540
03-20-2020	8652	94	1540
03-21-2020	8799	102	1540
03-22-2020	8897	104	2909
03-23-2020	8961	111	3166
03-24-2020	9037	120	3507
03-25-2020	9137	126	3730
03-26-2020	9241	131	4144
03-27-2020	9332	139	4528
03-28-2020	9478	144	4811
03-29-2020	9583	152	5033
03-30-2020	9661	158	5228
04-01-2020	9887	165	5567
04-02-2020	9976	169	5828
04-03-2020	10062	174	6021
04-04-2020	10156	177	6325
04-05-2020	10237	183	6463
04-06-2020	10284	186	6598
04-07-2020	10331	192	6694
