Date	Confirmed	Deaths	Recovered
01-22-2020	1	0	0
01-23-2020	1	0	0
01-24-2020	2	0	0
01-25-2020	2	0	0
01-26-2020	5	0	0
01-27-2020	5	0	0
01-28-2020	5	0	0
01-29-2020	5	0	0
01-30-2020	5	0	0
01-31-2020	6	0	0
02-01-2020	8	0	0
02-02-2020	8	0	0
02-03-2020	11	0	0
02-04-2020	11	0	0
02-05-2020	12	0	0
02-06-2020	12	0	0
02-07-2020	12	0	0
02-08-2020	12	0	0
02-09-2020	12	0	3
02-10-2020	12	0	3
02-11-2020	13	0	3
02-12-2020	13	0	3
02-13-2020	15	0	3
02-14-2020	15	0	3
02-15-2020	15	0	3
02-16-2020	15	0	3
02-17-2020	15	0	3
02-18-2020	15	0	3
02-19-2020	15	0	3
02-20-2020	15	0	3
02-21-2020	35	0	5
02-22-2020	35	0	5
02-23-2020	35	0	5
02-24-2020	53	0	5
02-25-2020	53	0	6
02-26-2020	59	0	6
02-27-2020	60	0	6
02-28-2020	62	0	7
02-29-2020	70	1	7
03-01-2020	76	1	7
03-02-2020	101	6	7
03-03-2020	122	7	8
03-04-2020	153	11	8
03-05-2020	221	12	8
03-06-2020	278	14	8
03-07-2020	417	17	8
03-08-2020	537	21	8
03-09-2020	605	22	8
03-10-2020	959	28	8
03-11-2020	1281	36	8
03-12-2020	1663	40	12
03-13-2020	2179	47	12
03-14-2020	2726	54	12
03-15-2020	3499	63	12
03-16-2020	4632	85	17
03-17-2020	6421	108	17
03-18-2020	7786	118	106
03-19-2020	13680	200	108
03-20-2020	19101	244	147
03-21-2020	25514	307	171
03-22-2020	33848	427	0
03-23-2020	43667	552	0
03-24-2020	53740	706	348
03-25-2020	65778	942	361
03-26-2020	83836	1209	681
03-27-2020	101657	1581	869
03-28-2020	121478	2026	1072
03-29-2020	140909	2467	2665
03-30-2020	161837	2978	5644
04-01-2020	213372	4757	8474
04-02-2020	243453	5926	9001
04-03-2020	275586	7087	9707
04-04-2020	308850	8407	14652
04-05-2020	337072	9619	17448
04-06-2020	366667	10783	19581
04-07-2020	396223	12722	21763
