Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	1	0	0
02-27-2020	3	0	0
02-28-2020	4	0	0
02-29-2020	4	0	0
03-01-2020	7	0	0
03-02-2020	7	0	0
03-03-2020	7	0	0
03-04-2020	9	0	0
03-05-2020	31	0	0
03-06-2020	45	0	0
03-07-2020	46	0	0
03-08-2020	73	0	0
03-09-2020	73	0	0
03-10-2020	89	0	0
03-11-2020	99	1	0
03-12-2020	99	1	0
03-13-2020	190	1	0
03-14-2020	228	3	8
03-15-2020	331	4	8
03-16-2020	331	4	8
03-17-2020	387	5	8
03-18-2020	418	5	8
03-19-2020	418	6	8
03-20-2020	495	6	19
03-21-2020	530	13	19
03-22-2020	624	15	19
03-23-2020	695	17	29
03-24-2020	743	20	29
03-25-2020	821	22	36
03-26-2020	892	26	36
03-27-2020	966	28	52
03-28-2020	1061	32	52
03-29-2020	1156	38	52
03-30-2020	1212	43	52
04-01-2020	1415	50	52
04-02-2020	1544	53	61
04-03-2020	1613	63	78
04-04-2020	1673	68	78
04-05-2020	1735	73	78
04-06-2020	1755	79	269
04-07-2020	1832	81	269
