Date	Confirmed	Deaths	Recovered
01-22-2020	0	0	0
01-23-2020	0	0	0
01-24-2020	0	0	0
01-25-2020	0	0	0
01-26-2020	0	0	0
01-27-2020	0	0	0
01-28-2020	0	0	0
01-29-2020	0	0	0
01-30-2020	0	0	0
01-31-2020	0	0	0
02-01-2020	0	0	0
02-02-2020	0	0	0
02-03-2020	0	0	0
02-04-2020	0	0	0
02-05-2020	0	0	0
02-06-2020	0	0	0
02-07-2020	0	0	0
02-08-2020	0	0	0
02-09-2020	0	0	0
02-10-2020	0	0	0
02-11-2020	0	0	0
02-12-2020	0	0	0
02-13-2020	0	0	0
02-14-2020	0	0	0
02-15-2020	0	0	0
02-16-2020	0	0	0
02-17-2020	0	0	0
02-18-2020	0	0	0
02-19-2020	0	0	0
02-20-2020	0	0	0
02-21-2020	0	0	0
02-22-2020	0	0	0
02-23-2020	0	0	0
02-24-2020	0	0	0
02-25-2020	0	0	0
02-26-2020	0	0	0
02-27-2020	1	0	0
02-28-2020	1	0	0
02-29-2020	1	0	0
03-01-2020	1	0	0
03-02-2020	1	0	0
03-03-2020	2	0	0
03-04-2020	2	0	0
03-05-2020	3	0	0
03-06-2020	10	0	0
03-07-2020	10	0	0
03-08-2020	10	0	0
03-09-2020	10	0	0
03-10-2020	12	0	0
03-11-2020	16	0	0
03-12-2020	16	0	0
03-13-2020	79	0	0
03-14-2020	115	0	0
03-15-2020	171	0	1
03-16-2020	205	0	1
03-17-2020	225	0	1
03-18-2020	258	0	1
03-19-2020	267	0	1
03-20-2020	283	0	1
03-21-2020	306	0	1
03-22-2020	326	0	4
03-23-2020	352	0	4
03-24-2020	369	0	7
03-25-2020	404	1	8
03-26-2020	538	1	8
03-27-2020	575	1	11
03-28-2020	645	1	20
03-29-2020	679	3	20
03-30-2020	715	3	20
04-01-2020	779	5	33
04-02-2020	858	11	45
04-03-2020	961	12	48
04-04-2020	1039	13	59
04-05-2020	1097	15	62
04-06-2020	1108	19	62
04-07-2020	1149	21	69
